time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,0.000,nan
0.190,0.000,nan
0.200,273.577,0.082262
0.210,201.652,0.189293
0.220,204.028,0.343637
0.230,209.465,0.525645
0.240,209.216,0.599818
0.250,208.455,0.806641
0.260,210.681,0.604791
0.270,217.139,0.329882
0.280,217.980,0.233091
0.290,206.599,0.362809
0.300,205.978,0.370419
0.310,205.821,0.559282
0.320,206.163,0.742969
0.330,206.396,0.818509
0.340,206.889,0.865834
0.350,206.516,0.878186
0.360,205.950,0.793745
0.370,205.695,0.731236
0.380,205.243,0.734462
0.390,204.569,0.692104
0.400,205.036,0.643499
0.410,202.632,0.470546
0.420,201.932,0.528740
0.430,204.037,0.580402
0.440,205.128,0.671941
0.450,206.183,0.810249
0.460,205.998,0.818491
0.470,205.311,0.770689
0.480,204.511,0.574076
0.490,101.427,0.489685
0.500,206.748,0.395981
0.510,104.249,0.447523
0.520,106.017,0.428047
0.530,106.142,0.207334
0.540,104.833,0.250512
0.550,102.873,0.258367
0.560,101.633,0.099615
0.570,216.973,0.274947
0.580,208.061,0.229524
0.590,228.919,0.565091
0.600,231.577,0.779027
0.610,236.683,0.769581
0.620,246.753,0.695057
0.630,259.396,0.626157
0.640,269.181,0.899246
0.650,273.820,0.945860
0.660,276.058,0.955684
0.670,275.505,0.966809
0.680,271.422,0.879245
0.690,258.645,0.653419
0.700,244.934,0.607341
0.710,236.248,0.664868
0.720,221.686,0.262405
0.730,932.682,0.331399
0.740,935.051,0.471282
0.750,875.314,0.187568
0.760,130.423,0.200596
0.770,124.663,0.390432
0.780,117.492,0.296586
0.790,109.356,0.256094
0.800,219.893,0.127453
0.810,218.354,0.364263
0.820,217.535,0.208284
0.830,211.269,0.148929
0.840,213.121,0.062245
0.850,211.072,0.090273
0.860,131.189,0.048678
0.870,35.057,0.050387
0.880,208.261,0.085375
0.890,208.641,0.255695
0.900,210.378,0.720887
0.910,210.475,0.808424
0.920,209.743,0.785476
0.930,208.535,0.714658
0.940,205.964,0.625778
0.950,204.876,0.632555
0.960,205.901,0.574145
0.970,210.360,0.388707
0.980,211.021,0.628664
0.990,209.006,0.725250
1.000,206.264,0.779497
1.010,206.823,0.791257
1.020,208.861,0.783370
1.030,211.615,0.809520
1.040,212.738,0.849088
1.050,211.497,0.821260
1.060,210.190,0.815878
1.070,209.006,0.761533
1.080,208.001,0.822115
1.090,207.864,0.793118
1.100,208.429,0.754492
1.110,209.266,0.715364
1.120,212.477,0.656880
1.130,211.689,0.757233
1.140,212.783,0.851103
1.150,213.297,0.746908
1.160,217.271,0.208520
1.170,161.942,0.268512
1.180,163.462,0.418787
1.190,164.028,0.673386
1.200,165.125,0.832354
1.210,166.344,0.879055
1.220,169.564,0.823777
1.230,174.184,0.877511
1.240,177.168,0.910538
1.250,179.911,0.906814
1.260,184.776,0.890348
1.270,188.498,0.905813
1.280,191.033,0.892235
1.290,191.791,0.897115
1.300,191.483,0.845642
1.310,190.349,0.881205
1.320,190.044,0.897497
1.330,188.718,0.891518
1.340,187.140,0.921909
1.350,185.747,0.952770
1.360,184.550,0.933629
1.370,183.877,0.955977
1.380,183.270,0.939386
1.390,182.484,0.912529
1.400,182.271,0.925554
1.410,182.317,0.935420
1.420,181.806,0.943359
1.430,180.223,0.920886
1.440,177.621,0.901641
1.450,173.722,0.899191
1.460,170.386,0.858191
1.470,168.478,0.893168
1.480,168.062,0.923741
1.490,167.533,0.938248
1.500,166.873,0.927168
1.510,165.366,0.896114
1.520,161.191,0.654270
1.530,156.360,0.571735
1.540,150.547,0.409213
1.550,137.833,0.593550
1.560,136.073,0.746633
1.570,135.226,0.793893
1.580,139.420,0.753103
1.590,142.562,0.808353
1.600,145.551,0.858200
1.610,148.530,0.858517
1.620,151.159,0.879597
1.630,154.002,0.915460
1.640,155.667,0.947325
1.650,155.608,0.950016
1.660,154.956,0.940598
1.670,155.102,0.919960
1.680,158.064,0.809319
1.690,162.658,0.791607
1.700,168.435,0.628881
1.710,177.421,0.791247
1.720,182.908,0.818287
1.730,188.868,0.690960
1.740,200.480,0.604625
1.750,208.506,0.812890
1.760,216.973,0.753022
1.770,224.546,0.804067
1.780,234.195,0.718494
