time,frequency,confidence
0.000,285.108,0.088547
0.100,262.171,0.971105
0.200,261.766,0.964057
0.300,261.649,0.961456
0.400,260.941,0.942834
0.500,262.043,0.968309
0.600,261.379,0.956385
0.700,261.943,0.969709
0.800,262.465,0.970509
0.900,259.048,0.966492
1.000,263.411,0.960016
1.100,259.451,0.971793
1.200,262.538,0.969598
1.300,262.462,0.971347
1.400,259.192,0.970911
1.500,263.295,0.964090
1.600,260.879,0.942915
1.700,260.577,0.955495
1.800,263.381,0.960771
1.900,259.902,0.970015
2.000,262.115,0.970634
2.100,262.494,0.971721
2.200,259.544,0.967645
2.300,263.155,0.965038
2.400,261.650,0.964398
2.500,260.406,0.957716
2.600,264.114,0.940388
2.700,260.175,0.964157
2.800,262.763,0.966136
2.900,263.372,0.959216
3.000,260.955,0.940876
3.100,262.415,0.969530
3.200,263.237,0.957039
3.300,261.427,0.936607
3.400,262.172,0.935057
